"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Oct 1, 2025 8:55:02 AM PDT","24565092011","Order","113-6503585-0201802","C-axe-02","Full Tang Survival Camping Axe with Wood Ergonomic Handle and Nylon Sheath Sheath - High Carbon Stainless Steel, Multi-Tool for Outdoor, Hunting, Emer","1","amazon.com","Standard Orders","Amazon","LAREDO","TX","78045","MarketplaceFacilitator","29.99","2.42","0","0","0","0","0","0","0","0","-2.42","-4.50","-6.05","0","0","19.44"
"Oct 2, 2025 2:49:23 AM PDT","24565092011","Order","114-1431331-9413035","GB-CA-02-WOLF","Grumpy Bear Camping Hatchet with Wolf Carving, Full Tang Outdoor Axe with Decorative Handle, Durable Forged Blade for Hiking, Bushcraft, and Survival","1","amazon.com","Standard Orders","Amazon","MOORESVILLE","NC","28117","MarketplaceFacilitator","29.99","1.52","2.99","0","0","0","0","0","-10.49","0","-1.52","-3.37","-5.52","0","0","13.60"
"Oct 2, 2025 4:01:54 AM PDT","24565092011","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-100.39","0","-100.39"
"Oct 2, 2025 4:41:39 AM PDT","24565092011","Order","111-5353721-0749810","AXE-SH-L","Grumpy Bear Camping Axe 15 Inches with High Carbon Steel, Smooth Blade, Leather-Wrapped Handle, Safety Lanyard - Ideal for Wood Splitting, Hiking, Sur","1","amazon.com","Standard Orders","Amazon","WEST LAFAYETTE","IN","47906","MarketplaceFacilitator","37.99","0","0","0","0","0","0","0","-37.99","0","0","-0.30","-6.05","0","0","-6.35"
"Oct 2, 2025 6:56:15 AM PDT","24565092011","Order","111-4862788-1238625","GB-CA-02-LION","Grumpy Bear Camping Hatchet with Lion Carving, Full Tang Outdoor Axe with Decorative Handle, Durable Forged Blade for Hiking, Bushcraft, and Survival","1","amazon.com","Standard Orders","Amazon","ALPHA","MN","56111","MarketplaceFacilitator","29.99","2.36","0","0","0","0","0","0","0","0","-2.36","-4.50","-5.37","0","0","20.12"
"Oct 2, 2025 3:59:35 PM PDT","24565092011","Refund","114-5519771-5588266","LAA-1","Grumpy Bear Heavy Duty Spike Lawn Aerator - Non-Slip T-Handle, Thick Stainless Steel Tube, Big Foot Plate for Better Root Growth & Water Drainage","1","amazon.com","Standard Orders","Amazon","WELLINGTON","FL","33414","MarketplaceFacilitator","-26.99","-1.51","-2.99","0","0","0","0","0","8.39","0","1.51","2.59","0","0","0","-19.00"
"Oct 3, 2025 12:42:49 AM PDT","24565092011","Order","112-3743082-8749825","GB-CA-02-WOLF","Grumpy Bear Camping Hatchet with Wolf Carving, Full Tang Outdoor Axe with Decorative Handle, Durable Forged Blade for Hiking, Bushcraft, and Survival","1","amazon.com","Standard Orders","Amazon","MIAMI","FL","33149","MarketplaceFacilitator","29.99","2.10","0","0","0","0","0","0","0","0","-2.10","-4.50","-5.52","0","0","19.97"
"Oct 3, 2025 4:20:46 AM PDT","24565092011","Order","113-7896116-6138610","C-axe-01","Full Tang Survival Camping Axe with Wood Ergonomic Handle and Nylon Sheath Sheath - High Carbon Stainless Steel, Multi-Tool for Outdoor, Hunting, Emer","1","amazon.com","Standard Orders","Amazon","LAREDO","TX","78045","MarketplaceFacilitator","29.99","2.47","0","0","0","0","0","0","0","0","-2.47","-4.50","-5.77","0","0","19.72"
"Oct 3, 2025 4:47:36 AM PDT","24565092011","FBA Inventory Fee","114-1751073-2104266","","FBA Removal Order: Disposal Fee","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-6.07","-6.07"
"Oct 3, 2025 5:32:57 AM PDT","24565092011","Order","111-1096466-0060245","GB-CA-02-EAGLE","Grumpy Bear Camping Hatchet, Full Tang Outdoor Axe with Decorative Handle, Durable Forged Blade for Hiking, Bushcraft, and Survival (Eagle)","1","amazon.com","Standard Orders","Amazon","IRVINGTON","NJ","07111","MarketplaceFacilitator","29.99","1.49","0","0","0","0","0","0","-7.50","0","-1.49","-3.37","-5.37","0","0","13.75"
